NORAD_CAT_ID,OBJECT_NAME,TLE_LINE1,TLE_LINE2,EPOCH
67577,STARLINK-36590,1 67577C 26016S   26210.11090278 -.00008324  00000+0 -25844-3 0  2106,2 67577  97.2843 269.5276 0000587  72.8383  78.2758 15.33440379    12,2026-07-29 04:38:21
67578,STARLINK-36613,1 67578C 26016T   26210.08937500 -.00020101  00000+0 -62399-3 0  2104,2 67578  97.2845 269.4508 0000201 196.4434  60.9113 15.33449975    19,2026-07-29 04:38:21
67579,STARLINK-36571,1 67579C 26016U   26210.09145833 -.00057276  00000+0 -17780-2 0  2102,2 67579  97.2845 269.5020 0000781  87.3059 301.6057 15.33467982    14,2026-07-29 04:38:21
67580,STARLINK-36612,1 67580C 26016V   26210.10604167 -.00020223  00000+0 -62774-3 0  2102,2 67580  97.2845 269.5994 0000682  84.1915 220.1009 15.33451638    15,2026-07-29 04:38:21
67581,STARLINK-36632,1 67581C 26016W   26210.07618056 -.00003064  00000+0 -95127-4 0  2104,2 67581  97.2843 269.5125 0000792  80.4592 284.0984 15.33437281    11,2026-07-29 04:38:21
67582,STARLINK-36609,1 67582C 26016X   26210.10256944 -.00020912  00000+0 -64913-3 0  2102,2 67582  97.2844 269.5061 0000956  88.7207 346.4075 15.33451233    15,2026-07-29 04:38:21
67583,STARLINK-36577,1 67583C 26016Y   26210.06923611 -.00008619  00000+0 -26755-3 0  2102,2 67583  97.2846 269.5691 0000044 138.6563 337.5917 15.33447066    10,2026-07-29 04:38:21
67584,STARLINK-36419,1 67584C 26016Z   26210.08104167  .00001999  00000+0  62037-4 0  2108,2 67584  97.2842 269.5562 0000693 185.7925 295.5845 15.33440472    16,2026-07-29 04:38:21
67585,STARLINK-36560,1 67585C 26016AA  26210.06576389 -.00008965  00000+0 -27829-3 0  2107,2 67585  97.2846 269.4338 0000376 219.6521 282.4435 15.33444611    17,2026-07-29 04:38:21
67589,STARLINK-36641,1 67589C 26018A   26210.08243056  .00005815  00000+0  18050-3 0  2102,2 67589  97.2846 274.2491 0000780  84.0222 166.0541 15.33440597    10,2026-07-29 04:38:21
67590,STARLINK-36376,1 67590C 26018B   26210.09354167 -.00001017  00000+0 -31585-4 0  2102,2 67590  97.2845 274.3061 0000533 175.9023 240.4769 15.33435786    13,2026-07-29 04:38:21
67591,STARLINK-36391,1 67591C 26018C   26210.10326389  .00109200  00000+0  33902-2 0  2104,2 67591  97.2847 274.2414 0001171  68.2867 221.6084 15.33381617    10,2026-07-29 04:38:21
67592,STARLINK-36603,1 67592C 26018D   26210.09701389 -.00006416  00000+0 -19919-3 0  2100,2 67592  97.2844 274.3231 0000119 158.9482 306.5854 15.33438305    12,2026-07-29 04:38:21
67593,STARLINK-36634,1 67593C 26018E   26210.09423611 -.00075171  00000+0 -23321-2 0  2105,2 67593  97.2844 274.3333 0000486  97.4879  22.6977 15.33497427    12,2026-07-29 04:38:21
67594,STARLINK-36638,1 67594C 26018F   26210.08243056 -.00003214  00000+0 -99776-4 0  2106,2 67594  97.2846 274.2322 0000072 114.6908  90.3906 15.33439431    13,2026-07-29 04:38:21
67595,STARLINK-36628,1 67595C 26018G   26210.11229167 -.00013357  00000+0 -41466-3 0  2109,2 67595  97.2844 274.3113 0000424  59.6489  70.1682 15.33444125    17,2026-07-29 04:38:21
67596,STARLINK-36629,1 67596C 26018H   26210.10951389 -.00014613  00000+0 -45366-3 0  2106,2 67596  97.2846 274.2893 0000637  69.9346 359.5563 15.33444421    17,2026-07-29 04:38:21
67597,STARLINK-36384,1 67597C 26018J   26210.10881944 -.00025780  00000+0 -80027-3 0  2106,2 67597  97.2847 274.3870 0001006  85.5992 205.0693 15.33452376    14,2026-07-29 04:38:21
67598,STARLINK-36358,1 67598C 26018K   26210.09284722 -.00007246  00000+0 -22491-3 0  2104,2 67598  97.2846 274.2859 0000640  86.2002 281.3447 15.33446931    17,2026-07-29 04:38:21
67599,STARLINK-36582,1 67599C 26018L   26210.09979167 -.00012780  00000+0 -39678-3 0  2103,2 67599  97.2844 274.3309 0000082 279.2690 216.5899 15.33441710    15,2026-07-29 04:38:21
67600,STARLINK-36640,1 67600C 26018M   26210.10604167 -.00014286  00000+0 -44343-3 0  2101,2 67600  97.2845 274.2940 0001322  86.6921 338.6484 15.33450401    17,2026-07-29 04:38:21
67601,STARLINK-36635,1 67601C 26018N   26210.09006944 -.00022669  00000+0 -70361-3 0  2102,2 67601  97.2848 274.3550 0000224  41.4048 115.8177 15.33455701    10,2026-07-29 04:38:21
67602,STARLINK-36631,1 67602C 26018P   26210.10604167 -.00016213  00000+0 -50329-3 0  2106,2 67602  97.2848 274.3905 0000183  91.7053 198.6356 15.33447701    12,2026-07-29 04:38:21
67603,STARLINK-36626,1 67603C 26018Q   26210.09840278 -.00014630  00000+0 -45412-3 0  2108,2 67603  97.2845 274.3446 0000542  92.9290  65.2680 15.33448848    17,2026-07-29 04:38:21
67604,STARLINK-36605,1 67604C 26018R   26210.07618056 -.00141280  00000+0 -43821-2 0  2107,2 67604  97.2845 274.2830 0001229  93.3644 212.2519 15.33537728    16,2026-07-29 04:38:21
67605,STARLINK-36281,1 67605C 26018S   26210.09701389 -.00021465  00000+0 -66634-3 0  2102,2 67605  97.2846 274.2609 0000581  81.0798 234.4537 15.33450215    17,2026-07-29 04:38:21
67606,STARLINK-35843,1 67606C 26018T   26210.10604167 -.00011402  00000+0 -35399-3 0  2105,2 67606  97.2844 274.3261 0000263 316.5064 183.8291 15.33443247    11,2026-07-29 04:38:21
67607,STARLINK-36351,1 67607C 26018U   26210.09562500  .00041029  00000+0  12746-2 0  2104,2 67607  97.2846 274.3483 0000247 107.2710  50.6654 15.33396076    16,2026-07-29 04:38:21
67608,STARLINK-36411,1 67608C 26018V   26210.09631944 -.00025641  00000+0 -79600-3 0  2101,2 67608  97.2846 274.2539 0000327  98.1372 198.5698 15.33451756    16,2026-07-29 04:38:21
67609,STARLINK-36312,1 67609C 26018W   26210.07062500 -.00013698  00000+0 -42514-3 0  2109,2 67609  97.2848 274.3298 0000232  43.3515 351.5972 15.33452516    19,2026-07-29 04:38:21
67610,STARLINK-36387,1 67610C 26018X   26210.06784722 -.00024186  00000+0 -75078-3 0  2102,2 67610  97.2842 281.0316 0000711  86.2751 274.8946 15.33452221    12,2026-07-29 04:38:21
67611,STARLINK-36636,1 67611C 26018Y   26210.06854167 -.00014378  00000+0 -44634-3 0  2100,2 67611  97.2847 274.2129 0000374 164.9468 308.5218 15.33446783    11,2026-07-29 04:38:21
67612,STARLINK-36407,1 67612C 26018Z   26210.07895833 -.00016560  00000+0 -51404-3 0  2105,2 67612  97.2848 274.3511 0001149  81.0899  29.8381 15.33449217    16,2026-07-29 04:38:21
67613,STARLINK-36597,1 67613C 26018AA  26210.09562500 -.00013965  00000+0 -43354-3 0  2101,2 67613  97.2847 274.2721 0000190 292.4449  45.4261 15.33445272    10,2026-07-29 04:38:21
67617,STARLINK-36548,1 67617C 26020A   26210.07062500  .00030831  00000+0  11172-2 0  2102,2 67617  43.0005  61.6529 0001551 274.9374  43.3605 15.27546908    17,2026-07-29 04:38:21
67618,STARLINK-36601,1 67618C 26020B   26210.09840278  .00050348  00000+0  18246-2 0  2105,2 67618  43.0014  61.2873 0001670 276.0147 273.0643 15.27534286    19,2026-07-29 04:38:21
67619,STARLINK-36119,1 67619C 26020C   26210.07687500  .00044782  00000+0  16226-2 0  2102,2 67619  43.0002  61.5273 0001492 276.0609 112.0086 15.27544451    17,2026-07-29 04:38:21
